timestamp,position lat,position long,heart rate,cadence,distance,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,,
1069685829,-2705379,-936427829,69,0,1070180,0,16497,16575,0,2,69
1069685831,-2706874,-936430864,68,0,1073331,0,16273,16565,0,2,68
1069685833,-2708361,-936433946,69,0,1076520,0,16151,16554,0,7,69
1069685835,-2709726,-936437071,68,0,1079698,0,16095,16546,0,25,68
1069685837,-2710682,-936440288,68,0,1082830,0,16058,16539,0,18,68
1069685838,-2710932,-936441976,68,0,1084421,0,16030,16536,0,18,68
1069685839,-2711042,-936443709,69,0,1086041,0,16002,16533,0,44,69
1069685841,-2710908,-936447296,71,0,1089392,0,15993,16528,0,18,71
1069685843,-2710520,-936450926,72,0,1092798,0,16058,16521,0,12,72
1069685845,-2710101,-936454597,73,0,1096245,0,16879,16513,0,18,73
1069685847,-2709679,-936458417,74,0,1099830,0,17075,16503,0,12,74
